,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,dates
273,2020/1/22,ä¸_,CN,å±±ä__,370000,___å¸,370200,3,0,0,0,2020/1/22
274,2020/1/22,ä¸_,CN,å±±ä__,370000,å¨_µ·å¸,371000,1,0,0,0,2020/1/22
275,2020/1/22,ä¸_,CN,å±±ä__,370000,ä¸´æ_å¸,371300,2,0,0,0,2020/1/22
276,2020/1/22,ä¸_,CN,æ²³å__,410000,,,5,0,0,0,2020/1/22
277,2020/1/22,ä¸_,CN,æ²³å__,410000,___å¸,410100,2,0,0,0,2020/1/22
278,2020/1/22,ä¸_,CN,æ²³å__,410000,å·©ä_å¸,410181,1,0,0,0,2020/1/22
279,2020/1/22,ä¸_,CN,æ²³å__,410000,æ´__å¸,410300,1,0,0,0,2020/1/22
280,2020/1/22,ä¸_,CN,æ²³å__,410000,ä¸__å³¡å_,411200,1,0,0,0,2020/1/22
281,2020/1/22,ä¸_,CN,æ¹___,420000,,,444,0,28,17,2020/1/22
282,2020/1/22,ä¸_,CN,æ¹___,430000,,,4,0,0,0,2020/1/22
283,2020/1/22,ä¸_,CN,æ¹___,430000,_¿æ_å¸,430100,1,0,0,0,2020/1/22
284,2020/1/22,ä¸_,CN,æ¹___,430000,____,431200,3,0,0,0,2020/1/22
285,2020/1/22,ä¸_,CN,å¹¿ä__,440000,,,32,0,0,0,2020/1/22
